seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_447	301	No terminal repeats	1	11	0.9921	NA	0	1.7183	NA	NA
k127_8850	3028	No terminal repeats	4	11	0.7147	NA	0	0.0000	NA	NA
k127_3748	456	No terminal repeats	2	11	0.7069	NA	0	1.7166	NA	NA
k127_8873	584	No terminal repeats	1	11	0.6576	NA	0	0.0000	NA	NA
k127_11955	289	No terminal repeats	2	11	0.6489	NA	0	0.0000	NA	NA
k127_5430	249	No terminal repeats	1	11	0.6237	NA	0	0.0000	NA	NA
k127_13341	590	No terminal repeats	2	11	0.6181	NA	0	0.0000	NA	NA
k127_12769	849	No terminal repeats	0	11	0.6109	NA	0	0.0000	NA	NA
k127_5596	283	No terminal repeats	1	11	0.5826	NA	0	0.0000	NA	NA
k127_800	289	No terminal repeats	1	11	0.5420	NA	0	0.0000	NA	NA
k127_749	246	No terminal repeats	1	11	0.5379	NA	0	0.0000	NA	NA
k127_15536	431	No terminal repeats	1	4	0.5299	NA	0	0.0000	NA	NA
k127_12243	295	No terminal repeats	1	11	0.5271	NA	0	0.0000	NA	NA
k127_7650	319	No terminal repeats	2	11	0.5242	NA	0	0.0000	NA	NA
k127_285	1332	No terminal repeats	4	11	0.5237	NA	0	0.0000	NA	NA
k127_1435	301	No terminal repeats	2	11	0.5209	NA	0	0.0000	NA	NA
k127_14187	386	No terminal repeats	1	15	0.5027	NA	0	0.0000	NA	NA
k127_3220	300	No terminal repeats	1	11	0.4991	NA	0	0.7571	NA	NA
k127_5813	769	No terminal repeats	2	11	0.4981	NA	0	0.0000	NA	NA
k127_11859	918	No terminal repeats	2	11	0.4907	NA	0	0.0000	NA	NA
k127_11078	509	No terminal repeats	1	11	0.4905	NA	0	0.3803	NA	NA
k127_12401	394	No terminal repeats	1	11	0.4888	NA	0	0.0000	NA	NA
k127_3646	271	No terminal repeats	1	11	0.4879	NA	0	0.0000	NA	NA
k127_6231	424	No terminal repeats	0	11	0.4865	NA	0	0.0000	NA	NA
k127_1511	275	No terminal repeats	1	11	0.4864	NA	0	0.0000	NA	NA
k127_1105	301	No terminal repeats	1	15	0.4827	NA	0	0.0000	NA	NA
k127_10451	291	No terminal repeats	1	11	0.4809	NA	0	0.0000	NA	NA
