seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_2909	301	No terminal repeats	1	11	0.9044	NA	0	1.3823	NA	NA
k127_1615	301	No terminal repeats	1	11	0.8091	NA	0	1.1592	NA	NA
k127_3134	437	No terminal repeats	1	11	0.6759	NA	0	0.2239	NA	NA
k127_6512	295	No terminal repeats	2	11	0.6199	NA	0	0.0000	NA	NA
k127_4196	1471	No terminal repeats	4	11	0.6171	NA	0	0.0000	NA	NA
k127_200	391	No terminal repeats	2	11	0.6080	NA	0	0.9600	NA	NA
k127_264	301	No terminal repeats	1	11	0.5902	NA	0	0.9099	NA	NA
k127_6143	301	No terminal repeats	1	11	0.5776	NA	1	1.2225	NA	NA
k127_8417	289	No terminal repeats	1	11	0.5551	NA	0	0.0000	NA	NA
k127_4641	1921	No terminal repeats	6	11	0.5429	NA	0	0.0000	NA	NA
k127_3611	395	No terminal repeats	2	11	0.5409	NA	0	0.0000	NA	NA
k127_6148	498	No terminal repeats	2	11	0.5320	NA	0	0.7754	NA	NA
k127_2162	238	No terminal repeats	0	11	0.5274	NA	0	0.0000	NA	NA
k127_5569	261	No terminal repeats	0	11	0.5137	NA	0	0.0000	NA	NA
k127_9231	289	No terminal repeats	1	11	0.5092	NA	0	0.0000	NA	NA
k127_7229	301	No terminal repeats	1	11	0.5089	NA	0	0.0000	NA	NA
k127_557	258	No terminal repeats	1	11	0.4927	NA	0	0.7543	NA	NA
k127_292	301	No terminal repeats	1	11	0.4886	NA	0	0.0000	NA	NA
k127_1514	267	No terminal repeats	2	11	0.4860	NA	0	0.0000	NA	NA
k127_328	318	No terminal repeats	1	11	0.4794	NA	0	0.0000	NA	NA
k127_995	995	No terminal repeats	3	11	0.4755	NA	0	0.0000	NA	NA
k127_2082	301	No terminal repeats	2	11	0.4746	NA	0	0.0000	NA	NA
k127_5282	281	No terminal repeats	1	11	0.4742	NA	0	0.3799	NA	NA
k127_318	489	No terminal repeats	1	11	0.4722	NA	0	0.0000	NA	NA
k127_2338	301	No terminal repeats	2	11	0.4631	NA	0	0.0000	NA	NA
k127_7713	286	No terminal repeats	1	11	0.4626	NA	0	0.2874	NA	NA
k127_7621	293	No terminal repeats	2	11	0.4615	NA	0	0.0000	NA	NA
k127_8319	301	No terminal repeats	1	11	0.4588	NA	0	0.0000	NA	NA
k127_973	468	No terminal repeats	1	11	0.4499	NA	0	0.0000	NA	NA
k127_729	300	No terminal repeats	1	11	0.4483	NA	0	0.0000	NA	NA
k127_6325	295	No terminal repeats	1	11	0.4411	NA	0	0.0000	NA	NA
k127_1994	301	No terminal repeats	2	11	0.4320	NA	0	0.0000	NA	NA
k127_6094	510	No terminal repeats	1	11	0.4192	NA	0	0.0000	NA	NA
k127_3247	1007	No terminal repeats	2	11	0.4191	NA	0	0.0000	NA	NA
k127_4026	270	No terminal repeats	1	11	0.4168	NA	0	0.0000	NA	NA
k127_1844	439	No terminal repeats	1	11	0.4112	NA	0	0.0000	NA	NA
k127_8990	455	No terminal repeats	1	11	0.4109	NA	0	0.0000	NA	NA
k127_6743	464	No terminal repeats	1	11	0.4060	NA	0	0.0000	NA	NA
k127_6211	292	No terminal repeats	1	11	0.4055	NA	0	0.0000	NA	NA
k127_8745	301	No terminal repeats	2	11	0.4051	NA	0	0.0000	NA	NA
k127_3404	300	No terminal repeats	1	11	0.4023	NA	0	0.0000	NA	NA
k127_15	294	No terminal repeats	1	11	0.4015	NA	0	0.0000	NA	NA
k127_7750	320	No terminal repeats	1	11	0.4010	NA	0	0.0000	NA	NA
k127_1921	295	No terminal repeats	1	11	0.3987	NA	0	0.0000	NA	NA
k127_9119	300	No terminal repeats	1	11	0.3975	NA	0	0.0000	NA	NA
k127_4478	537	No terminal repeats	1	11	0.3942	NA	0	0.0000	NA	NA
k127_7341	489	No terminal repeats	2	11	0.3868	NA	0	0.0000	NA	NA
k127_4714	301	No terminal repeats	1	11	0.3844	NA	0	0.0000	NA	NA
k127_5950	296	No terminal repeats	1	11	0.3837	NA	0	0.0000	NA	NA
k127_3592	377	No terminal repeats	1	11	0.3811	NA	0	0.0000	NA	NA
k127_2227	287	No terminal repeats	0	11	0.3808	NA	0	0.0000	NA	NA
k127_7625	484	No terminal repeats	1	11	0.3803	NA	0	0.0000	NA	NA
k127_677	231	No terminal repeats	1	11	0.3787	NA	0	0.0000	NA	NA
k127_2858	1578	No terminal repeats	3	11	0.3743	NA	0	0.0000	NA	NA
k127_9301	537	No terminal repeats	2	11	0.3698	NA	0	0.0000	NA	NA
k127_542	429	No terminal repeats	1	11	0.3604	NA	0	0.0000	NA	NA
k127_1532	633	No terminal repeats	2	15	0.3591	NA	0	0.0000	NA	NA
k127_3362	367	No terminal repeats	2	11	0.3563	NA	0	0.0000	NA	NA
k127_9064	511	No terminal repeats	2	11	0.3457	NA	0	0.0000	NA	NA
