seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_9332	414	No terminal repeats	1	11	0.9623	NA	0	1.6878	NA	NA
k127_58	299	No terminal repeats	1	11	0.9292	NA	0	0.1776	NA	NA
k127_8497	459	No terminal repeats	1	11	0.9247	NA	0	1.4933	NA	NA
k127_1369	301	No terminal repeats	1	11	0.8688	NA	0	1.1855	NA	NA
k127_10178	290	No terminal repeats	1	11	0.8029	NA	0	0.8693	NA	NA
k127_7079	300	No terminal repeats	1	11	0.8015	NA	0	0.0000	NA	NA
k127_9892	249	DTR	1	11	0.7442	NA	0	0.0000	NA	NA
k127_10137	464	No terminal repeats	2	11	0.7367	NA	0	1.2432	NA	NA
k127_10755	277	No terminal repeats	1	11	0.7244	NA	0	1.0692	NA	NA
k127_6696	360	No terminal repeats	1	11	0.7134	NA	0	1.0163	NA	NA
k127_7272	300	No terminal repeats	1	11	0.7028	NA	0	1.1077	NA	NA
k127_4935	1510	No terminal repeats	6	11	0.6582	NA	0	0.0000	NA	NA
k127_8351	293	No terminal repeats	1	11	0.6473	NA	0	0.8779	NA	NA
k127_8259	299	No terminal repeats	1	11	0.6345	NA	0	0.0000	NA	NA
k127_11273	300	No terminal repeats	1	11	0.6224	NA	0	0.0000	NA	NA
k127_6962	295	No terminal repeats	2	11	0.6199	NA	0	0.0000	NA	NA
k127_1289	327	No terminal repeats	1	11	0.6164	NA	0	0.0000	NA	NA
k127_5747	577	No terminal repeats	1	15	0.6119	NA	0	0.0000	NA	NA
k127_7113	299	No terminal repeats	1	11	0.5946	NA	0	0.0000	NA	NA
k127_987	1805	No terminal repeats	1	11	0.5851	NA	0	0.0000	NA	NA
k127_3651	3378	No terminal repeats	8	11	0.5840	NA	0	0.0000	NA	NA
k127_4286	295	No terminal repeats	1	11	0.5800	NA	0	0.0000	NA	NA
k127_2818	300	No terminal repeats	1	11	0.5678	NA	0	1.0011	NA	NA
